CovidenceID,Title,PaperType,Region,Scale,Nexus,NChallenge,Gov,Policy,Actors,CrossCut
#504,Rethinking water governance: Moving beyond water-centric perspectives in a connected and changing world,Review; Perspective,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),"Hierarchical Governance; Network Governance; Other: Adaptive governance, polycentric governance, multi-level governance",Legal and Regulatory Instruments; Economic and Financial Instruments; Social and Cultural Instruments,Private; Funders; Civil Society; Academia; NGOs; Regional Organisations; Multilateral Organisations; Governments,Equity; Poverty; Economic growth; Indigenous values and knowledge; Energy
#501,Women's agency in water governance: Lessons from the water and health nexus in Armenia and Ukraine,Perspective,Western Asia; Eastern Europe,National (whole country),Health; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus),"Community Governance; Other: Human Rights-based Approach (RBA), Participatory Water Governance",Legal and Regulatory Instruments; Rights-Based Instruments and Customary Norms,Private; Civil Society; NGOs; Multilateral Organisations; Governments,Equity; Other: Gender
#498,"Cities and “budget-based” management of the energy-water-climate nexus: Case studies in transportation policy, infrastructure systems, and urban utility risk management",Review,Northern America; Western Europe,Local >1 km² to 100 km² (neighbourhood to municipality); Subnational >100 km² (watershed),Climate change; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus),NA,Legal and Regulatory Instruments; Economic and Financial Instruments,Private; Civil Society; Regional Organisations; Multilateral Organisations; Governments; Other: Environmental Commissions,Energy
#491,"Applying the water-energy-food nexus to farm profitability in the middle breede catchment, South Africa",Modelling,Sub-Saharan Africa,Subnational >100 km² (watershed),Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus); Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",NA,NA,Private; Civil Society; Academia; NGOs; Governments,Economic growth; Indigenous values and knowledge; Energy
#488,The multipurpose water uses of hydropower reservoirs: The SHARE concept,Review,Sub-Saharan Africa; Latin America and the Caribbean; Northern America; Southern Asia; Australia and New Zealand,Subnational >100 km² (watershed),Biodiversity; Climate change; Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Community Governance,Economic and Financial Instruments,Private; NGOs; Multilateral Organisations; Governments; Other: Hydropower utilities,"Equity; Economic growth; Energy; Other: Tourism, resilience, social cohesion"
#475,Considering Resources Beyond Water: Irrigation and Drainage Management in the Context of the Water–Energy–Food Nexus,Perspective,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Climate change; Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring); Other: Lack of capacity",Community Governance,Legal and Regulatory Instruments; Economic and Financial Instruments,Private; Civil Society; Regional Organisations; Multilateral Organisations; Governments,Energy
#470,"System Properties Determine Food Security and Biodiversity Outcomes at Landscape Scale: A Case Study from West Flores, Indonesia",Empirical,South-eastern Asia,Local >1 km² to 100 km² (neighbourhood to municipality),Biodiversity; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),Network Governance; Community Governance,Legal and Regulatory Instruments,Private; Funders; Civil Society; NGOs; Governments; Other: Farmers,Equity; Poverty; Economic growth; Education
#466,Games for aiding stakeholder deliberation on nexus policy issues,Perspective,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Biodiversity; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance; Market Governance; Network Governance,Legal and Regulatory Instruments; Economic and Financial Instruments,NA,"Energy; Other: Soi, Waste"
#465,Governance of water-energy-food nexus: A social network analysis approach to understanding agency behaviour,Perspective,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance; Network Governance; Community Governance; Other: multi-level governance,NA,Private; Governments,Energy
#462,In search of a (WEF) nexus approach,Conceptual/theoretical,South-eastern Asia,Subnational >100 km² (watershed),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance; Market Governance,Legal and Regulatory Instruments,Private; Academia; Governments,Energy
#461,From state to system: Financialization and the water-energy-food-climate nexus,Review,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Climate change; Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),"Hierarchical Governance; Other: system governance, integrated water resources management",Economic and Financial Instruments,Private; Funders; Multilateral Organisations; Governments,Energy
#460,Governing food and agriculture in a warming world,Review; Empirical,Sub-Saharan Africa,National (whole country),Biodiversity; Climate change; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),NA,Economic and Financial Instruments,Funders; Regional Organisations; Multilateral Organisations,Equity; Energy
#456,"Comparison between seasonal pumped-storage and conventional reservoir dams from the water, energy and land nexus perspective",Review; Empirical,Latin America and the Caribbean,National (whole country),Biodiversity; Climate change; Water,Other: Physical Energy Storage Challenge,NA,Economic and Financial Instruments,Private,Energy; Other: Land
#453,"Institutional arrangements for beneficial regional cooperation on water, energy and food priority issues in the Eastern Nile Basin",Empirical,Sub-Saharan Africa,"Regional (multiple countries, whole continents)",Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),Network Governance,Legal and Regulatory Instruments; Social and Cultural Instruments,Private; Funders; Civil Society; Regional Organisations; Multilateral Organisations,Energy
#446,Climate change and the water–energy–food nexus: insights from policy and practice in Tanzania,Review; Empirical,Sub-Saharan Africa,National (whole country),Climate change; Food; Water,"Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus); Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Hierarchical Governance,Legal and Regulatory Instruments,Private; Academia; NGOs; Other: Research organisations,Energy
#437,China's environment on a metacoupled planet,Review,Eastern Asia,National (whole country),Biodiversity; Climate change; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance,"Legal and Regulatory Instruments; Economic and Financial Instruments; Other: They pitch ""nexus approaches"" and ""flow centered governance""",Civil Society; Governments,Economic growth; Energy
#435,"What is driving the water-energy-food nexus? Discourses, knowledge, and politics of an emerging resource governance concept",Review,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),NA,Economic and Financial Instruments,Multilateral Organisations; Governments,Equity; Poverty; Indigenous values and knowledge; Energy; Other: Power relations
#432,"Interdependencies and Risk to People and Critical Food, Energy, and Water Systems: 2013 Flood, Boulder, Colorado, USA",Conceptual/theoretical; Empirical; Modelling,Northern America,Subnational >100 km² (watershed),Health; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance; Community Governance,Legal and Regulatory Instruments; Economic and Financial Instruments,"Private; Funders; Civil Society; Academia; Governments; Other: Authors applied interviews, but defined the actors as ""stakeholders from the social-institutional and infrastructural realms""","Equity; Poverty; Energy; Other: Emergency response, Infrastructure, Public health, Flood recovery"
#431,"Seeing land deals through the lens of the ‘land–water nexus’: the case of biofuel production in Piura, Peru",Empirical,Latin America and the Caribbean,Subnational >100 km² (watershed),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance,Legal and Regulatory Instruments; Rights-Based Instruments and Customary Norms; Economic and Financial Instruments; Social and Cultural Instruments,Private; Funders; Civil Society; IPLCs; Multilateral Organisations; Governments,Equity; Other: Land
#429,Globalization and the water-energy-food nexus – Using the global production networks approach to analyze society-environment relations,Empirical; Other: Survey based,Western Europe,Local >1 km² to 100 km² (neighbourhood to municipality),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),Hierarchical Governance,Legal and Regulatory Instruments,Private; Media; Civil Society; NGOs; Regional Organisations; Multilateral Organisations; Governments,Energy
#428,Towards a relational understanding of the water-energy-food nexus: an analysis of embeddedness and governance in the Upper Blue Nile region of Ethiopia,Empirical,Sub-Saharan Africa,Subnational >100 km² (watershed),Biodiversity; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance,NA,Private; Funders; Civil Society; Governments,Energy
#426,"Framing and integration in the global forest, agriculture and climate change nexus",Review; Perspective,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Biodiversity; Climate change; Food,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Other: integrative governance,Legal and Regulatory Instruments; Economic and Financial Instruments,Funders; Academia; Regional Organisations; Multilateral Organisations; Governments,NA
#424,Integrated governance for the food–energy–water nexus – The scope of action for institutional change,Review; Conceptual/theoretical; Empirical,Western Europe,National (whole country),Climate change; Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance,Legal and Regulatory Instruments,"Governments; Other: ""Stte and non-state actors and stakeholders""",Energy
#423,"Analysis of the nexus between population, water resources and Global Food Security highlights significance of governance and research investments and policy priorities",Empirical,Not applicable (no specific spatial location),National (whole country),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),NA,NA,NA,"Other: population growth,  corruption"
#418,Governing the water-energy-food nexus related to hydropower on shared rivers-the role of regional organizations,Review,Sub-Saharan Africa; South-eastern Asia,Subnational >100 km² (watershed),Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),"Community Governance; Other: ""Nexus Governance"", ""Collaborative Governance""",Economic and Financial Instruments; Social and Cultural Instruments,Private; Media; Funders; Civil Society; NGOs; Governments,Energy
#416,Ecosystem services and multifunctional agriculture: Unravelling informal stakeholders' perceptions and water governance in three European irrigation systems,Review; Empirical,Southern Europe,Local >1 km² to 100 km² (neighbourhood to municipality); Subnational >100 km² (watershed),Biodiversity; Food; Water,Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance,NA,Private; Civil Society; Academia; Regional Organisations; Governments,NA
#409,The development of the water-energy-food nexus as a framework for achieving resource security: A review,Review,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Other: Integrated natural resource management,NA,NA,"Equity; Poverty; Employment; Energy; Other: Livelihoods,"
#403,Assessing Action Situation Networks: A Configurational Perspective on Water and Energy Governance in Irrigation Systems,Other: Network analysis,Southern Asia; Southern Europe,"Regional (multiple countries, whole continents)",Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),NA,Legal and Regulatory Instruments; Economic and Financial Instruments,Private; Governments,Energy
#400,"Integrated irrigation and agriculture planning in punjab: Toward a multiscale, multisector framework",Review; Empirical,Southern Asia,Subnational >100 km² (watershed),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),NA,Legal and Regulatory Instruments,Private; Civil Society; Regional Organisations; Multilateral Organisations; Governments,Energy
#394,Relational equity management in water-energy-food nexus governance the case of the aral sea basin restoration programmes,Perspective,Central Asia,"Regional (multiple countries, whole continents)",Biodiversity; Climate change; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus),NA,NA,Private; Funders; Civil Society; Regional Organisations; Governments,Equity; Energy
#385,International law and marine ecosystem governance: The climate change nexus,Review; Conceptual/theoretical,Sub-Saharan Africa; Latin America and the Caribbean; Eastern Asia;  Northern Europe; Not applicable (no specific spatial location),Local >1 km² to 100 km² (neighbourhood to municipality); Subnational >100 km² (watershed); National (whole country),Biodiversity; Climate change,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus); Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Hierarchical Governance; Community Governance,Legal and Regulatory Instruments,Private; Funders; Civil Society; IPLCs; Multilateral Organisations; Governments,Economic growth; Indigenous values and knowledge
#382,The Water-Energy-Food Nexus,Review; Perspective; Conceptual/theoretical; Other: Book chapter,Eastern Asia,National (whole country),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),Hierarchical Governance,NA,Governments,Energy
#378,Governance of the water-energy-food security nexus: A multi-level coordination challenge,Review; Perspective,Western Europe,NA,Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Market Governance; Network Governance; Other: regulatory processes,Rights-Based Instruments and Customary Norms; Economic and Financial Instruments,Private; Civil Society; Multilateral Organisations; Governments,Energy
#377,Exploring sustainable land use in forested tropical social-ecological systems: A case-study in the Wet Tropics,Empirical,Australia and New Zealand,National (whole country),Biodiversity; Climate change; Food,NA,Other: None,Other: None,Other: None,NA
#371,Developing interpretive structural modeling based on factor analysis for the water-energy-food nexus conundrum,Conceptual/theoretical,Eastern Asia,Subnational >100 km² (watershed),Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",NA,NA,Other: none,Equity; Poverty; Energy
#366,The biodiversity of food and agriculture (Agrobiodiversity) in the anthropocene: Research advances and conceptual framework,Review; Conceptual/theoretical; Empirical,Latin America and the Caribbean,Subnational >100 km² (watershed),Biodiversity; Climate change; Health; Food,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Other: Biocultural governance approaches,Rights-Based Instruments and Customary Norms; Economic and Financial Instruments; Social and Cultural Instruments,IPLCs; NGOs; Multilateral Organisations; Governments,"Indigenous values and knowledge; Other: Urbanization, migration"
#361,Power dynamics and integration in the water-energy-food nexus: Learning lessons for transdisciplinary research in Cambodia,Empirical; Other: Analysis based on surveys,South-eastern Asia,Subnational >100 km² (watershed),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),"Network Governance; Other: Adaptive ecosystem and resource governance, resource based governance",Legal and Regulatory Instruments,Civil Society; NGOs; Multilateral Organisations; Governments,Energy
#358,Risk Inequality and the Food-Energy-Water (FEW) Nexus: A Study of 43 City Adaptation Plans,Review; Conceptual/theoretical; Modelling,Sub-Saharan Africa; Latin America and the Caribbean; Northern America; Eastern Asia; South-eastern Asia; Southern Asia;  Northern Europe; Southern Europe; Western Europe,Not applicable (no specific spatial location),Biodiversity; Climate change; Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus),Hierarchical Governance; Network Governance,Legal and Regulatory Instruments,Private; Civil Society; Governments,Equity; Energy
#357,System complexity and policy integration challenges: The Brazilian Energy- Water-Food Nexus,Review; Modelling,Latin America and the Caribbean,National (whole country),Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus); Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Hierarchical Governance; Market Governance,Legal and Regulatory Instruments; Economic and Financial Instruments,Private; Civil Society; Academia; Regional Organisations; Multilateral Organisations; Governments,Energy; Other: Land use
#356,"Cleaning the air, protecting the climate: Policy, legal and institutional nexus to reduce black carbon emissions in China",Review; Conceptual/theoretical,Eastern Asia,National (whole country),Climate change; Health,"Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Hierarchical Governance,Legal and Regulatory Instruments,Governments,NA
#354,Learning from integrated management approaches to implement the Nexus,Review,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Other: efficiency,Other: Integrated management approaches,NA,NA,"Energy; Other: Soil, Waste"
#353,"Network governance and the Urban Nexus of water, energy, and food: Lessons from Amsterdam",Empirical,Western Europe,Local >1 km² to 100 km² (neighbourhood to municipality),Food; Water,NA,Network Governance,Rights-Based Instruments and Customary Norms,Civil Society; Governments,Economic growth; Energy
#352,"Integrated natural resource management as pathway to poverty reduction: Innovating practices, institutions and policies",Review; Conceptual/theoretical,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)","Other: integrated natural resources management, polycentric governance",Rights-Based Instruments and Customary Norms; Economic and Financial Instruments,NA,Equity; Poverty; Economic growth; Indigenous values and knowledge; Energy; Other: Safety
#348,Payment for ecosystem services and the water-energy-food nexus: Securing resource flows for the affluent?,Empirical,Latin America and the Caribbean,Subnational >100 km² (watershed),Biodiversity; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance,Economic and Financial Instruments,Private; Funders; Civil Society; NGOs; Governments,Equity; Poverty; Employment; Energy; Other: power dynamics
#334,Small-scale irrigation scheme governance - poverty nexus: evidence from Ethiopia,Empirical,Sub-Saharan Africa,Subnational >100 km² (watershed),Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Other: Polycentric governance was proposed,Rights-Based Instruments and Customary Norms; Economic and Financial Instruments,Civil Society; Governments,Poverty
#328,Prominent Influence of Socioeconomic and Governance Factors on the Food-Energy-Water Nexus in sub-Saharan Africa,Empirical,Sub-Saharan Africa,"Regional (multiple countries, whole continents)",Health; Food; Water,Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs),NA,NA,NA,Energy; Other: services
#327,Controversial Connections: The water-energy-food nexus in the Blue Nile basin of Ethiopia,Conceptual/theoretical,Sub-Saharan Africa,Subnational >100 km² (watershed),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),NA,Other: none,Civil Society; Academia; NGOs; Governments,Equity; Indigenous values and knowledge; Energy
#315,Synergies within the water-energy-food nexus to support the integrated urban resources governance,Conceptual/theoretical; Empirical; Modelling,Eastern Asia,Local >1 km² to 100 km² (neighbourhood to municipality),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Market Governance; Other,Legal and Regulatory Instruments,Other,Energy
#313,Water diplomacy and nexus governance in a transboundary context: In the search for complementarities,Review,Sub-Saharan Africa; Western Asia,"Regional (multiple countries, whole continents)",Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),"Other: water diplomacy, adaptive management",Rights-Based Instruments and Customary Norms; Economic and Financial Instruments; Other,Private; Funders; Civil Society; Governments,Equity; Energy
#306,"Strengthen the European collaborative environmental research to meet European policy goals for achieving a sustainable, non-toxic environment",Perspective,Eastern Europe;  Northern Europe; Southern Europe; Western Europe,"Regional (multiple countries, whole continents)",Biodiversity; Climate change; Health; Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus); Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Network Governance; Community Governance,Economic and Financial Instruments,Funders; Academia; Governments,NA
#301,Sustainable development and the water-energy-food nexus: Legal challenges and emerging solutions,Conceptual/theoretical,Northern America;  Northern Europe; Not applicable (no specific spatial location),"National (whole country); Regional (multiple countries, whole continents); Not applicable (no specific spatial location)",Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),NA,Legal and Regulatory Instruments,Regional Organisations; Governments,Energy
#300,Water insecurity and urban poverty in the Global South: Implications for health and human biology,Review,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Health; Water,"Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",NA,NA,Private; Governments,Equity; Poverty
#296,Towards a low-carbon economy: A nexus-oriented policy coherence analysis in Greece,Perspective; Conceptual/theoretical; Empirical; Other,Southern Europe,National (whole country),Climate change; Food; Water,Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs),Hierarchical Governance,Legal and Regulatory Instruments; Rights-Based Instruments and Customary Norms; Social and Cultural Instruments,Private; Funders; Civil Society; Academia; NGOs; Governments,Energy; Other: Land and tourism
#294,"Sanctuary in the City? Climate Change and Internally Displaced Persons in Harare, Zimbabwe",Empirical,Sub-Saharan Africa,Local >1 km² to 100 km² (neighbourhood to municipality),Climate change; Health,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),NA,Legal and Regulatory Instruments; Other: International policies and norms,Civil Society; NGOs; Regional Organisations; Governments,Poverty
#292,Food security and land use change under conditions of climate variability: Synthesis and uniting perspectives,Review; Perspective,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Climate change; Food,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),NA,NA,Private; Civil Society; Governments,Equity; Poverty; Other: Land
#290,Unravelling the Food-Health Nexus to Build Healthier Food Systems,Review,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Health; Food,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus); Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Network Governance,Legal and Regulatory Instruments; Economic and Financial Instruments,Private; Funders; Academia; NGOs; Governments,Equity; Poverty
#287,Grounding nexus governance: De-nexused developments in nepal,Conceptual/theoretical,Southern Asia,Subnational >100 km² (watershed),Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Community Governance,Other: none,Private; Media; Funders; Civil Society; NGOs; Regional Organisations; Multilateral Organisations; Governments,Equity; Poverty; Employment; Energy
#281,The water–energy–food nexus: bridging the science–policy divide,Opinion,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance; Other: Centralized governance,NA,NA,Equity; Energy
#280,An MCDM-based social network analysis of water governance to determine actors’ power in water-food-energy nexus,Empirical; Modelling,Western Asia,Subnational >100 km² (watershed),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Network Governance,NA,Private; Civil Society; Academia; IPLCs; NGOs; Multilateral Organisations; Governments,Energy
#278,A bibliometric analysis of food-energy-water nexus literature,Review,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Other: none,Other: none,Other: none,Energy
#277,Mainstreaming the Water-Energy-Food Nexus through nationally determined contributions (NDCs): the case of Brazil,Review; Perspective,Latin America and the Caribbean; Eastern Asia; Southern Asia; Eastern Europe;  Northern Europe; Southern Europe; Western Europe,"National (whole country); Regional (multiple countries, whole continents); Multi-regional (multiple continents/geographic regions)",Climate change; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance,Legal and Regulatory Instruments,Private; Governments,Energy
#268,Overcoming climate change adaptation barriers: A study on food–energy–water impacts of the average American diet by demographic group,Empirical,Northern America,National (whole country),Climate change; Food; Water,Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs),NA,NA,Private; Governments,Equity; Education; Energy
#266,The role of communication in managing complex water-energy-food governance systems,Conceptual/theoretical,Northern America,Subnational >100 km² (watershed),Biodiversity; Climate change; Health; Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Network Governance,Legal and Regulatory Instruments,Academia; NGOs; Multilateral Organisations; Governments,Energy
#263,Cities and the Anthropocene: Urban governance for the new era of regenerative cities,Review; Conceptual/theoretical,Australia and New Zealand,Site <1 km² (field to farm); Local >1 km² to 100 km² (neighbourhood to municipality),Biodiversity; Climate change; Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Network Governance; Community Governance,NA,Private; Civil Society; Governments,"Other: Waster, Transport"
#261,Nexus thinking in business: Analysing corporate responses to interconnected global sustainability challenges,Perspective,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Climate change; Water,NA,Market Governance,Economic and Financial Instruments; Social and Cultural Instruments,Private,Economic growth; Energy
#256,"The global governance of water, energy, and food nexus: allocation and access for competing demands",Review; Perspective,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Climate change; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),NA,Legal and Regulatory Instruments; Economic and Financial Instruments; Social and Cultural Instruments,NA,Equity; Energy
